energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
57,184488789,21379,123599,123424,170,53135577,15507436721,12703058850,691411285,16417615160,8221.09,15760145457,0,0
57.11,181815834,21415,123662,123493,165,53118245,15628846295,12797642714,695560692,16559076060,8291.96,15578568936,0,0
56.36,179506519,21141,120851,120677,170,52833067,15596202925,12605984304,689397492,16305293880,8164.86,15704949376,0,0
55.96,177400337,21153,121182,121015,163,52964817,15143238021,12679710082,682999688,16366091560,8195.27,15449321152,0,0
57.16,189107027,21359,127795,127628,163,53331179,15696622751,12845063595,699932340,16590812960,8307.86,15728461571,0,0
57.11,186350105,21595,123069,122888,161,53176291,15722516278,12761027252,693568012,16489096580,8255.9,15757581246,0,0
56.68,182388480,21336,122180,122019,157,53398918,15614267067,12759362405,694703223,16466901160,8245.73,15723245208,0,0
56.36,169023152,21071,115058,114882,172,52382115,14530701170,12184519681,646472743,15765069180,7894.23,14668200113,0,0
57.61,184607621,21546,123524,123349,171,53125610,15519685090,12673207827,693249908,16355544300,8189.95,15757390048,0,0
57.3,180476534,21570,121277,121110,163,53485074,15324023669,12694484666,690621766,16401189580,8212.9,15424567285,0,0
51.11,177909769,21023,114228,113704,520,54685469,15384131038,13046339347,684923712,16813792880,8419.86,15411431585,0,0
53.76,179349632,21568,112858,112281,526,55022959,15620742420,13053753613,680066763,16832156000,8428.27,15728259575,0,0
51.09,181127091,22190,113668,113093,570,55569491,15547141339,13004541842,689322780,16770500600,8398.03,15602884907,0,0
53.98,191686264,21790,121076,120520,552,56061609,16356761163,13538217571,716883019,17427934240,8727.05,16606551037,0,0
51.38,174673305,20931,110834,110291,539,54572899,15502282649,12856833210,666089518,16557633860,8291.52,15610199453,0,0
52.85,184077697,22298,120401,119444,837,55327006,15764629673,13066382616,687859248,16856445040,8440.54,15898971731,0,0
51.34,175691579,21174,113004,112299,701,54502947,14801855392,12621544875,666211836,16308553740,8166.35,14898835798,0,0
52.7,180868402,21706,120431,119880,547,55527337,15704301225,13114352755,690632993,16939873480,8482.31,15792146150,0,0
53.11,180088210,21662,115986,115456,526,56068467,15686104606,13167886577,694967778,16971877580,8498.81,15896772221,0,0
51.27,180755055,21927,112082,111552,526,55685660,15656385976,13106257567,688136870,16926873500,8476.21,15682080321,0,0
55.49,192734370,19552,115207,114541,513,47871427,15219912790,12167005677,693911690,15748809380,7884.91,15240560025,0,0
55.44,187938996,19554,113125,112388,513,48337846,15061630113,12185943850,697025184,15786776100,7904.27,15204885116,0,0
55.36,184903178,19740,105619,104982,515,48493505,15211285379,12171039051,689604348,15758189680,7890.01,15246071168,0,0
58.43,188113839,19636,108839,108314,515,48600505,15089985843,12264993839,704065828,15891553360,7956.78,15283803231,0,0
57.94,186263865,19773,110596,110026,516,48139289,15182428936,12064161810,704444437,15639854980,7830.43,15379444943,0,0
53.13,184432083,20320,110727,110198,518,48292789,15412695759,12288740526,718038408,15906150980,7964.06,15423769333,0,0
54.4,192164819,19986,109462,108783,517,48612935,15338183160,12143046204,692570708,15741087020,7881.5,15385970002,0,0
55.76,190100805,20016,115078,114392,514,48098820,15266608347,12139611254,693536413,15754281220,7888.24,15414038020,0,0
