energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
64.35,367967986,76245,1524137,1523872,261,83144032,32221050370,24187123166,1909524001,31471909100,15758.13,32499809073,0,0
64.71,371325980,81573,1535100,1534833,263,81273241,32622335216,24386331380,1941638650,31738923420,15892.11,32740132559,0,0
64.22,365918960,80200,1522384,1522118,262,83508437,32237761394,24493217168,1931344042,31936316540,15990.75,32361892891,0,0
64.43,371821622,79316,1532391,1532126,261,82079743,32445756733,24462969557,1914785076,31830049860,15937.74,32872920415,0,0
64.23,370158066,79692,1526326,1526053,269,83322851,32450950098,24601966583,1931319470,32036169500,16040.76,32841745607,0,0
64.11,369662620,81783,1523955,1523694,257,81729769,32174203423,23984747997,1912008904,31301923600,15673.06,32323837578,0,0
65.36,371078481,80235,1531265,1530998,263,81046247,32559187609,24536941496,1933901138,31917813920,15981.52,32596967150,0,0
69.63,365671946,81344,1521690,1521449,237,81654808,32156889190,24273787099,1917397425,31575788980,15810.3,32334606504,0,0
65.97,377096931,79075,1576543,1576325,214,83792132,42665487359,28085991924,1984615993,36393689420,18223.58,42917799823,0,0
65.08,364714730,93009,1531513,1531249,260,82215472,32442194065,24457141904,1943192875,31943191880,15993.53,32587260520,0,0
59.44,360336780,78925,1531906,1509130,22772,82215917,33272593354,25085453797,1950617181,32607764960,16327.09,33632758114,0,0
59.03,364664712,82774,1532625,1508490,24131,82565401,33499499075,24938138698,1946678929,32461785840,16254.28,33675862938,0,0
61.87,368024204,81121,1530169,1507391,22774,83881781,33696632873,25099092801,1959612496,32650714860,16348.85,33917899839,0,0
59.5,365617636,82308,1530142,1507328,22809,83117354,33656755636,25217136897,1954697313,32834204840,16440.41,33876736092,0,0
58.75,366486413,77566,1577333,1554567,22762,83757725,43748909103,28403108634,1974064404,36810566500,18432.93,43841874885,0,0
