energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
35.66,137503840,94,1482,884,598,59199990,41499443126,23844173533,988845503,29973982760,15014.96,41698975427,15.00046,0.016157
30.47,39092717,97,1482,886,596,14136922,10081726883,5736148607,297602061,7234358380,3623.93,9863114258,3.594061,0.03267
31.63,94848973,120,1479,884,595,22810548,14880499243,8643472095,376044553,10883601140,5451.97,15239981589,5.424329,0.031349
34.68,100393170,165,1479,884,595,36370146,24627090353,14262069264,640149784,18026994160,9030.36,24901832650,9.011399,0.024614
27.92,32958789,69,1479,884,595,6646419,4964228535,2895814349,131378954,3663456140,1835.15,5025456762,1.815743,0.021401
33.54,113617673,139,1481,886,595,30285273,20088726546,11401445615,634752379,14430138100,7228.57,19885799663,7.212875,0.020438
38.22,168698409,221,1478,883,595,51255320,34971234153,19977432012,1024966215,25205353280,12626.29,34767946463,12.598243,0.035526
37,187109682,184,1481,886,595,41984155,29975447416,17192509698,926401987,21633588080,10837.12,30071308553,10.815719,0.027758
35.31,77225294,67,1478,883,595,58530782,41713619375,23864323427,953064702,29965537100,15011.12,41710320238,14.996017,0.016269
30.85,40728695,96,1479,884,595,14153509,10191494943,5863923772,248376034,7371313940,3692.61,10315712211,3.671866,0.024159
32.13,89082737,110,1479,883,596,20025876,14910420805,8614620635,432001220,10837444480,5428.92,14994969343,5.41876,0.013925
34.91,146215745,182,1482,886,596,34711877,25114931959,14377594372,704026317,18067082480,9050.52,25147395863,9.031528,0.024667
28.95,28055860,73,1481,885,596,7680702,5030099021,2901249524,164917332,3648530500,1827.68,4952112944,1.813932,0.016009
33.42,85341113,148,1480,884,596,27844925,20018838022,11508655528,556892964,14468759440,7247.97,20089467219,7.216663,0.036079
38.53,214911168,233,1483,887,596,50651811,34997918858,20039571640,1078089334,25201573860,12624.47,34660358212,12.613697,0.018471
37.17,175455360,190,1480,884,596,44000747,30254106532,17199574319,967088190,21646212240,10843.44,29987180525,10.82823,0.021579
35.38,105611392,111,1481,885,596,57627256,41555541555,23866633029,981697870,29971654860,15014,41616800094,14.99501,0.019886
30.01,46059778,93,1481,885,596,14276670,10094075685,5800476370,283780190,7299109500,3656.39,10137289868,3.631787,0.027525
32.31,98462897,114,1478,882,596,22993240,15007197386,8650716073,431536196,10874283200,5447.35,15108324079,5.429526,0.021819
34.54,140352363,175,1482,886,596,36369000,24998174656,14304309247,744148146,18020046560,9026.93,24873452358,9.012615,0.019849
28.23,26887323,74,1481,885,596,6668880,5114381547,2943487754,135737571,3701795160,1854.37,5167299256,1.838777,0.017673
33.99,104514130,135,1482,886,596,28482789,20034093337,11470389829,622197576,14422393800,7224.72,19819044541,7.197653,0.03211
38.45,179785850,218,1480,884,596,52817453,34565157253,20021087623,933361656,25200473940,12623.87,35007335370,12.595652,0.035598
36.97,130055026,202,1478,882,596,42277871,29788188558,17182557796,808125084,21618817900,10829.7,29733128675,10.797895,0.038312
35.67,81031983,90,1478,882,596,59549762,41698090202,23820394399,949119206,29964167880,15010.33,41732630779,14.987018,0.0249
30.35,53795900,93,1480,884,596,13116061,9943169151,5748828890,272894867,7237583140,3625.6,10057178765,3.596746,0.032351
32.37,84264999,117,1481,885,596,20156120,14976107299,8615208679,427346538,10839286740,5429.83,15055019817,5.409624,0.023988
35.55,146754965,174,1481,885,596,36194495,25175182925,14363204017,758281638,18066763800,9050.37,25027848793,9.035882,0.020554
29.01,22452554,68,1479,883,596,6886261,5003504508,2922895981,122671208,3679429520,1843.17,5108846140,1.834914,0.010386
33.6,96776442,133,1481,885,596,28791018,20165960036,11496274084,620394364,14458949680,7243.07,19901838351,7.223649,0.024648
38.88,199796856,215,1481,885,596,52422006,35142900084,20026963891,1120141428,25201191720,12624.25,34690813753,12.586413,0.045018
