energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
47.07,62590250,21595,1017,436,581,9179870,9487472826,3926602744,324172604,5132629180,2568.97,9506574781,1.046991,1.542629
46.25,53073494,18589,1016,437,579,8357772,8161936233,3421325345,282495027,4518681700,2262.01,8142112334,0.864185,1.412689
46.57,78855707,18634,1014,435,579,13470974,8551859620,4051478533,269666989,5314407700,2660.41,8534408009,0.791088,1.891571
45.98,64950871,15453,1015,436,579,11026508,7108419493,3395986600,224196002,4463008340,2234.4,7067271566,0.677908,1.571027
46.49,56294060,18728,1015,436,579,8706613,8230927473,3496573243,283795353,4601441200,2303.44,8224491180,0.836804,1.490052
46.97,80326714,30263,1015,436,579,12238570,10774028679,4742451465,311342912,6242939080,3124.97,10756927006,1.095568,2.056895
46.66,62302551,21403,1013,434,579,9531283,7970417290,3499693707,229877579,4648044300,2326.55,7967749469,0.863233,1.474761
46.36,43628292,14305,1015,436,579,6785519,6325353859,2675082657,218175723,3560368940,1782.31,6280885547,0.582702,1.218313
47.17,65027025,22801,1016,437,579,9928803,10008791249,4169163088,343012058,5462421400,2734.02,9999921046,0.965938,1.788196
46.54,43344271,14408,1016,437,579,6877586,6349222146,2693424850,219121796,3585823760,1795.05,6329839286,0.622391,1.190979
46.79,78238928,18319,1015,436,579,13477874,8429363995,4021575816,264402885,5280151100,2643.09,8401439038,0.807953,1.862966
47.16,95962330,23231,1015,436,579,16056962,10650872570,4901945881,332278183,6384781140,3196.03,10650647328,1.042055,2.170598
47.09,64554804,23012,1015,436,579,10091315,10104961559,4191216387,343958977,5499846880,2753.07,10086844430,1.077584,1.695818
46.79,52042462,15901,1015,436,579,7982796,6120841384,2758717438,180121358,3705775180,1855.24,6109435785,0.671458,1.176729
47.01,73780611,26495,1014,435,579,11059548,9594457876,4172654016,276577814,5502671840,2754.59,9603647541,1.042053,1.727499
46.55,53762015,18498,1013,434,579,8386822,8125784137,3406416362,277071674,4506758920,2255.7,8102682452,0.80925,1.46406
46.57,38052181,11623,1014,435,579,5985837,5120052197,2204738477,179812083,2943825760,1473.46,5101846034,0.515106,0.983284
47.17,72077613,25191,1016,437,579,10789841,11059861487,4563344318,376746081,5961851640,2984.09,11059999703,0.993434,2.014784
47.02,84323892,19914,1014,435,579,14326859,9150107137,4212640167,286635190,5517406980,2761.84,9148506641,0.9317,1.854934
46.5,54277216,11726,1014,435,579,9394530,5383723384,2611962926,173850871,3468163100,1736.08,5390708660,0.516479,1.239919
46.82,57964029,19031,1016,437,579,8826398,8353622619,3572727414,290111365,4699583460,2352.45,8357901322,0.81927,1.56506
47.39,81356291,29488,1016,437,579,12053044,10570988054,4493430261,301148262,5933867440,2970.07,10563064059,1.151375,1.848328
46.59,42454241,12709,1016,437,579,6821444,4969860451,2268657788,146592193,3072579160,1538.35,4986077671,0.469483,1.072567
46.99,58793238,20323,1016,437,579,9142570,8927694072,3744251170,306777755,4921020380,2463.19,8917493464,0.903368,1.580228
47.52,65492546,23527,1016,437,579,10042425,10332366722,4251955882,351585159,5578603240,2792.42,10323851068,1.003507,1.807037
46.72,47072420,14790,1014,435,579,7387923,6496030865,2884787108,230235322,3830272200,1917.41,6509355117,0.658494,1.283499
47.11,79030315,18745,1014,436,578,13616039,8612783415,3992447616,270054514,5245089680,2625.56,8607639531,0.825625,1.818085
46.75,78756284,18597,1015,436,579,13506497,8561396539,4006137780,271415543,5243715860,2624.82,8535958593,0.777216,1.872909
46.82,57063339,19211,1017,438,579,8720788,8451891913,3525964692,290454847,4651185100,2328.06,8453240736,0.826473,1.525695
47.11,63678953,22086,1016,437,579,9583020,8178788167,3546229735,232219089,4694930620,2349.98,8179146636,0.910069,1.45344
