energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
44.76,25547459,158,1573892,1573311,581,15355252,46037288246,23655495831,1013625596,29946243660,15002.56,46063883966,7.878413,7.125526
44.2,32537404,117,1475993,1475412,581,4968043,81943764350,23740457687,899946320,30049818940,15053.29,82029783292,11.092232,3.962104
44.22,28117420,104,2098188,2097608,580,6324859,48858265815,24087681338,894383029,30499949600,15278.49,48853338335,10.593044,4.686764
47.57,29774076,112,2068948,2068368,580,9540146,54741338714,25501263327,951591318,32296056240,16178.64,54699742110,9.976716,6.20333
49.71,21076709,184,1049605,1049026,579,18714552,39623445347,19893824872,901012048,25185623100,12616.82,39577981023,5.401865,7.217749
44.31,36800879,86,1311757,1311176,581,4536722,90691061493,23688128567,802781077,30035993360,15046.84,90746150238,11.406343,3.641519
44.99,40175320,141,787463,786883,580,3805575,84017413733,23811885325,854958118,30146381040,15102.21,83984830682,12.17909,2.923727
44.17,25736494,100,1520750,1520170,580,14639196,45091691901,21528816453,910127549,27278561220,13665.57,45066050962,7.395663,6.271502
45.19,37497477,141,2143477,2142897,580,7551411,58187044847,24541579587,879461274,31041216140,15550.54,58103741922,9.866305,5.685064
44.59,31570629,90,1450437,1449856,581,4929051,81347028331,23710248065,897399191,30046181100,15050.83,81240981607,11.009633,4.042281
45.38,28090215,116,2098181,2097603,578,7532267,50381652767,24615414084,921158695,31165005800,15611.24,50371021740,10.190548,5.421962
43.81,29956632,90,2076411,2075831,580,6173679,51478384822,23765761062,853671623,30101724980,15078.88,51495832155,9.848352,5.23151
45.27,28554542,96,1573898,1573319,579,13044235,62701685925,23945743050,950815541,30350555660,15203.71,62623826447,8.459254,6.745568
44.52,41425595,115,1180685,1180104,581,6255339,88913511749,23684034662,815791674,30022879740,15039.72,88980187519,10.808525,4.232106
44.78,25743186,92,1180684,1180104,580,4127732,83028769245,23818354588,858500121,30218264840,15137.72,82996690190,12.014489,3.124677
44.52,30632495,92,1967115,1966535,580,6649185,65106346729,23939130027,855366419,30371248020,15214.45,65072984611,10.410833,4.80465
42.95,21662158,130,1175527,1174948,579,14640274,24178009805,14470287384,798504737,18336490020,9185.66,24232610113,2.767175,6.421422
44.72,43641638,90,1206179,1205598,581,5411371,82643444593,23685954187,890236887,30048843060,15053.06,82700501942,11.177438,3.876742
44.6,58827524,93,1071900,1071320,580,5510997,50799334603,23692753451,897889719,30009760780,15033.53,50810575659,10.325217,4.709396
59.38,28253436,132,1836050,1835471,579,15641087,52787466266,26553916912,1103793112,33658382520,16861.35,52776254792,9.408336,7.454773
44.53,26420347,90,1573896,1573316,580,6026545,73318788134,23810480450,853079520,30205661140,15131.73,73244299799,11.083355,4.049411
44.4,34928277,96,1311756,1311175,581,4208878,90879311100,23675273859,781684604,30036203220,15046.86,90933070226,11.503763,3.544238
44.76,25077257,109,1180680,1180100,580,4100562,82181252992,23772111899,858137829,30150551280,15104.16,82215448809,11.997553,3.10763
44.59,28694427,103,1967116,1966536,580,6630777,64369054905,23941408114,866554886,30357737140,15207.96,64326495524,10.723253,4.485788
44.82,55670217,93,1573897,1573317,580,6297755,58054175495,23911517887,873361057,30317635320,15187.82,58019547106,10.057916,5.130913
44.83,43405026,76,1207704,1207123,581,4745397,82104177324,23669026907,889656210,30050956380,15052.99,82110585516,11.167346,3.88735
44.81,26366069,81,2098181,2097602,579,6229329,49420890806,24094565698,897112751,30522955260,15289.57,49423890670,10.487828,4.803199
44.09,30599813,100,2124739,2124159,580,6266482,51183068481,23759242635,873278114,30104134140,15079.9,51170419457,10.2575,4.823424
44.65,26096957,84,1573898,1573318,580,5372172,72901375102,23819889036,849602960,30205845060,15130.95,72959237583,11.209728,3.922354
44.58,46929167,93,1049610,1049029,581,6316528,89368009444,23607662717,800885179,29949687840,15002.73,89213408148,10.914767,4.089346
45.06,39900939,94,787467,786887,580,3779695,83862893287,23813358489,860945636,30218049020,15137.24,83900648488,12.109512,3.028951
