energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
56.28,221423211,39685,1042,461,581,163778965,31687090025,42938810794,2776230232,54220195060,27154.62,31686063065,0.618005,26.524326
52.49,249096105,62215,1029,450,579,159337905,35060606135,45512623011,3956944028,57622302940,28861.15,35056125096,0.615205,28.220735
51.51,636229401,75358,1042,463,579,74871902,27330649304,42132391703,6910575742,53509737760,26794.81,27334957513,0.282837,26.481719
51.88,657659792,74968,1041,462,579,74638021,27385670974,42170525688,6876205714,53543915720,26811.33,27388896912,0.164636,26.617695
52.29,232907725,40841,1033,454,579,162854724,32148473896,42748109549,2808474491,53960337500,27021.27,32144814137,0.582018,26.430597
50.49,759016545,68381,1033,454,579,76346185,29197173625,42273145329,7884526568,53627805740,26853.93,29204393306,0.181058,26.644907
54.22,619874774,84496,1035,456,579,71635759,27909781218,41977534247,6960137660,53365839780,26722.22,27920408894,0.179104,26.510923
54.44,258723743,56435,1038,459,579,165826233,34561240462,45644307053,3949242068,57727357160,28911.91,34565032770,0.570281,28.315009
53.53,220990924,43323,1044,465,579,161244595,31527083871,42813205464,2740987989,54099473280,27093.39,31522110765,0.566215,26.513614
53.89,267439636,54655,1033,454,579,164691616,35547819301,45676794442,4005902664,57809337560,28953.78,35548034414,0.533342,28.394375
54.34,638848810,72325,1040,461,579,75757171,27434775390,41878015266,7084739266,53157678760,26617.79,27445290745,0.192771,26.39899
55.66,616817821,78666,1040,461,579,74609797,27443356888,42191244279,6892990488,53579789920,26828.7,27451577453,0.157614,26.633731
54.21,221137974,44044,1033,454,579,159980636,31965822536,42901797986,2856701227,54146177080,27115.47,31964244361,0.607326,26.494017
53.03,746495811,68153,1034,455,579,76492950,29099834171,42316213675,7852808908,53653728440,26865.99,29119501278,0.123012,26.721788
55.82,641411329,79367,1030,451,579,73325663,28327037925,42054325711,7183647131,53442884500,26760.96,28336638215,0.207408,26.523527
55.32,255960998,54358,1038,459,579,167434167,34734233138,45680523586,3919993256,57774776780,28934.96,34735707184,0.533737,28.378596
54.69,221584258,39467,1039,460,579,163568317,31774883563,42990829556,2757316393,54264231240,27175.57,31764650296,0.640281,26.523096
55.21,261585190,54841,1033,454,579,164340585,35412062639,45759236518,4035364640,57836637740,28965.92,35437035765,0.569643,28.373014
57.12,612259276,76509,1041,462,579,75244475,27263553289,42015052599,6889126846,53350841120,26714.54,27262553101,0.192312,26.494566
53.63,759290683,65192,1041,462,579,78911690,28055482607,41914826761,7677771624,53132314560,26605.79,28048071127,0.265768,26.31282
54.84,224202962,43227,1032,453,579,161491151,32208732425,42848293279,2816109068,54139650420,27113.08,32216528386,0.602257,26.495966
57.78,634211336,80776,1031,452,579,71382175,28032610379,42122293524,7008325263,53545984260,26812.67,28035551577,0.20348,26.576489
57.31,632213503,83118,1032,453,579,72314184,28112651466,42051527678,7032826987,53459667120,26768.11,28117275609,0.17458,26.561416
54.95,270382012,55563,1044,465,579,167154409,34739757030,45681142924,3874978661,57756491380,28926.32,34740600010,0.481841,28.419506
54.92,219472615,41690,1041,462,579,162745330,31716943949,42907856856,2749470631,54181393920,27133.33,31723586674,0.690538,26.430025
53.7,261399899,54485,1029,450,579,162926991,35477351078,45759381206,3989645319,57816027080,28955.9,35471284576,0.586242,28.347669
54.19,610034106,75465,1040,461,579,74948555,27169928763,41952590962,6875752816,53310483560,26694.57,27165630609,0.239135,26.43011
54.21,609450767,77432,1043,464,579,74677643,27451530009,42203760862,6905502102,53569580100,26824.31,27447207306,0.272259,26.519701
52.78,225012666,44902,1034,455,579,159521491,31893356182,42788159340,2795464095,54054335200,27071.22,31901509231,0.600994,26.456687
53.39,710612698,72731,1030,451,579,74734447,28886600694,42255261378,7595526100,53613604060,26846.16,28874730766,0.166469,26.650361
54.93,663065763,75687,1032,453,579,73444861,28374023014,42099063154,7293911140,53485703440,26782.22,28382339673,0.220424,26.529012
55.03,255284841,56855,1039,460,579,164691481,34489665552,45607855923,3912416481,57731400380,28912.86,34485581285,0.56917,28.320505
54.66,217940386,43827,1042,463,579,162462976,31655044211,42848051524,2745582210,54135951540,27111.04,31656916416,0.519556,26.576591
55.41,260501402,56894,1034,455,579,162876860,35481747279,45661699575,3994336391,57763890000,28929.66,35482428366,0.562991,28.341646
57.01,611947210,76332,1043,464,579,75517058,27376888160,42106676199,6914460244,53437586080,26758.06,27381107585,0.174866,26.552737
54,694579591,70333,1040,461,579,78300413,28053653615,42071192292,7522644205,53348772540,26714.17,28050254739,0.197271,26.491034
54.18,222509049,40863,1030,451,579,163249599,32245156356,42877324459,2815372264,54119757260,27103.3,32242551278,0.605593,26.484876
57.16,622676412,83876,1033,454,579,72259234,28074687322,42051609724,6975150313,53458775140,26768.32,28078982640,0.19474,26.540272
56.1,663995633,77393,1032,453,579,73501419,28411285570,42150966895,7255823507,53539737260,26809.06,28418079360,0.196273,26.585927
54.71,249022206,58958,1039,460,579,162915821,34421230980,45604573149,3909014415,57685578560,28890.55,34423230331,0.522698,28.341966
54.46,220649874,41924,1042,463,579,163750906,31716719311,42797852594,2766428991,54053099920,27069.55,31726739577,0.606062,26.451961
54.75,253342569,56755,1031,452,579,161819604,35297750891,45660788291,3977740823,57762046780,28928.55,35301118713,0.542283,28.360972
55.2,606852311,78002,1041,462,579,74778786,27335321661,42065336542,6878384516,53454278680,26766.6,27315273574,0.217499,26.520794
53.92,626967246,75889,1043,464,579,74872264,27527444492,42237647623,6964575533,53612921760,26845.69,27516064695,0.216979,26.597785
51.93,222572967,41943,1030,451,579,161569676,31983011763,42918857188,2805043276,54165853560,27125.93,31983500314,0.571049,26.545087
54.36,647263757,81429,1032,453,579,71402254,28005276569,42019773304,6989177333,53410705780,26744.28,28003812027,0.157014,26.552023
55.23,640865624,82108,1031,452,579,71570299,28156067253,42118647285,7048300440,53535995800,26807.4,28153828955,0.227295,26.545357
53.79,255250573,55970,1040,461,579,164379357,34526721322,45630077305,3879604811,57738380300,28913.68,34540208947,0.581714,28.304622
53.98,222604099,40307,1042,463,579,163887661,31792757334,42805656963,2758565287,54074323380,27080.51,31788486312,0.56119,26.508658
54.81,253723385,62370,1031,452,579,160917281,35172084827,45468223746,3989719538,57616551980,28855.24,35177132500,0.57482,28.255388
56.71,609729449,76944,1039,460,579,75096931,27381478240,42081808371,6891785632,53454668560,26767,27387924127,0.222084,26.516965
55.35,633970853,43203,1043,464,579,71103278,26219744286,42868061281,6866043380,54135119680,27109.04,26216744089,0.150089,26.945011
54.3,229498159,43050,1033,454,579,161943382,32113101970,42788278513,2780584658,54021901940,27054.65,32110579807,0.57416,26.467156
53.13,733000275,69678,1032,454,578,76008508,29055461426,42251046537,7817974314,53609183140,26844.27,29053766210,0.175304,26.640339
56.44,648646879,81126,1035,456,579,72852511,28280546305,42100024032,7146022606,53531271820,26804.69,28281133320,0.18673,26.585016
55.1,252237018,58857,1039,460,579,165426610,34611434572,45546809166,3924074923,57681054940,28888.58,34613969155,0.465944,28.394856
54.69,230202676,41072,1040,461,579,162230982,31550655492,42802013070,2815264916,54058948860,27073.26,31534702141,0.696513,26.364685
55.23,259877625,60654,1033,454,579,163220438,35429254049,45625394344,4098237210,57724553620,28910.36,35415761288,0.489495,28.393144
57.8,655390183,74675,1042,463,579,75133568,27408032711,42157089230,6903855107,53555361460,26817.02,27408419706,0.180079,26.60696
55.44,612124240,76767,1040,461,579,75295374,27452179605,42131432401,6937968869,53507705520,26792.6,27431979190,0.191993,26.570886
52,224871338,40756,1030,451,579,163507795,31972124299,42815045786,2794573335,54067189480,27076.34,31977319662,0.606099,26.457174
54.58,629304608,83801,1032,453,579,71919266,28150944360,42130884377,6996868248,53534867600,26806.53,28157877447,0.216305,26.55293
49.51,734245446,65329,1033,454,579,75722447,29004601259,42198161554,7870103327,53479852140,26779.38,29004518178,0.170727,26.58638
53.64,254912735,57699,1043,464,579,163540278,34491367654,45588795608,3948783020,57704602140,28900.17,34499635142,0.532674,28.334685
53.92,222890812,41175,1038,459,579,162962168,31668275345,42921196079,2752084636,54226594060,27156.83,31675337530,0.569306,26.573863
54.5,263706219,56148,1030,451,579,161461180,35416911323,45700282407,3968689937,57845503540,28970.36,35415754167,0.604817,28.341267
56.7,603801639,74478,1040,461,579,74160927,27087727259,41878458845,6884667433,53258246080,26668.46,27088413820,0.227317,26.411341
56.75,603850302,74543,1037,458,579,74734590,27481299803,42265987430,6944260384,53640059200,26859.46,27479411159,0.163222,26.668776
54.21,224568002,42689,1031,452,579,161261752,32035273092,42784706984,2824179065,54034326820,27060.28,32035634930,0.579143,26.468272
53.52,756012639,68561,1033,454,579,76145704,29220005970,42337504815,7902796080,53672596660,26876.43,29234592410,0.156428,26.689117
53.73,725482845,69268,1034,455,579,76170702,29020098198,42237369140,7736666807,53574051980,26825.89,29018050892,0.168104,26.636156
54.81,252590681,55531,1040,461,579,164631781,34587650761,45673573410,3893794338,57744666120,28920.12,34586090558,0.553331,28.339855
54.23,223324190,42894,1040,461,579,162199949,31673817053,42794165883,2716242263,54059534320,27073.31,31675454255,0.637393,26.42083
54.68,259467840,57796,1033,454,579,162922566,35332745391,45621864991,3988279694,57750650840,28922.99,35336076291,0.495517,28.403477
57.01,616836721,75674,1043,464,579,75959425,27465161568,42026158504,6971498067,53365362980,26722.73,27469395567,0.194989,26.501225
57.25,606316116,76242,1039,460,579,75171654,27559896812,42204989848,6966727794,53605165120,26841.75,27558116198,0.255876,26.554275
54.18,221917881,42240,1031,452,579,162274708,32063113121,42796387047,2802652022,54053048580,27069.38,32057366964,0.532133,26.525433
57.15,624987700,81736,1033,454,579,71610790,28025593949,42007402190,7013252173,53412928220,26745.14,28017487076,0.22018,26.491625
52.32,715480397,72140,1033,454,579,74907582,28827158670,42190443564,7589843502,53545328560,26812.34,28835814695,0.188617,26.598809
53.17,257943184,58572,1043,464,579,165381365,34612035070,45601717881,3951862244,57696937160,28895.44,34616600083,0.492873,28.376669
