energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
76.75,417754230,54877,226687,225892,787,107879761,32491328086,26490397020,1529572595,34020498860,17033.76,32781061492,0,0
76.75,420403476,55878,226989,226195,786,108995110,33101584598,27017291564,1552693501,34752505660,17400.49,33271992709,0,0
77,414748998,54723,227042,226247,785,108058437,33041977937,26695625627,1544327812,34313353040,17179.87,33340632082,0,0
77.49,415287254,54549,226488,225693,787,106557763,32463465913,26496394312,1525407730,34023211460,17035.05,32664845286,0,0
78.61,424599465,55323,229875,229077,790,108208533,33046342546,26821949234,1547429326,34452473280,17250.69,33214277948,0,0
78.06,411977713,54303,221860,221056,796,106602506,32697695797,26535018346,1521402123,34114928600,17081.17,32834251520,0,0
78.09,417040745,55427,231255,230446,801,107692171,32950060911,26822320242,1545526396,34487078340,17267.49,33024128341,0,0
78.38,403350663,54758,225781,224978,795,107605960,31707392571,26220302696,1503678826,33683890020,16865.17,32152278736,0,0
79.09,423399220,55588,226149,225352,789,108296444,33640067619,27142613860,1565554882,34876082920,17462.33,33799833927,0,0
76.54,399714340,53870,214792,213973,811,106205034,31484629144,26065231460,1484253651,33502975820,16774.74,31666482673,0,0
70.53,407862676,56375,208068,198391,9666,112008712,31296203578,26682497616,1476377211,34339506000,17193.87,31402549367,0,0
67.65,403359540,55648,209309,200598,8703,112127156,31624722007,26786554183,1477156347,34473101560,17260.56,31921861032,0,0
71.24,411925401,57217,219949,210603,9338,112877254,31714515469,27032793114,1502165256,34785515180,17416.92,32004929604,0,0
67.35,413383808,56833,211460,202281,9171,113011301,31719718730,27188389220,1498432625,34976144380,17512.45,32049943145,0,0
69.06,407750898,55840,213040,203229,9802,112149163,31565350437,26742535254,1491439494,34393677800,17220.77,31762186344,0,0
67.16,404746938,56923,202340,193489,8843,112159137,31857831424,26952698857,1486594845,34688227860,17368.03,31846960970,0,0
69.77,408779946,58111,197505,187891,9606,114514933,32274254883,27297138783,1490831730,35122970360,17585.81,32204615597,0,0
70.32,403800357,56084,202240,193193,9036,111560256,31502401346,26873980164,1483047685,34554992820,17301.84,31791308660,0,0
67.39,401786979,55873,213703,204846,8849,111008329,30998959678,26418772453,1471994123,33978967220,17012.68,30970217627,0,0
71.41,424571296,57613,216593,206868,9717,115731729,33394971129,28043681587,1555818305,35983521700,18016.12,33380618765,0,0
76.47,440376718,57548,301055,291000,10035,109324917,33897593247,26783784753,1631951035,34295207360,17168.85,33982565804,0,0
77.34,427887004,56929,291028,280620,10179,106748491,33106988443,26341412674,1620438142,33866989060,16955.5,33130656197,0,0
77.85,431258165,56397,291978,281558,10299,105945599,33376554371,26253850141,1624588160,33781313700,16912.65,33736217566,0,0
