energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
47.07,62590250,21595,1017,436,581,9179870,9487472826,3926602744,324172604,5132629180,2568.97,9506574781,1.046991,1.542629,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,10758,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,10760,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,37,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10879,0
46.25,53073494,18589,1016,437,579,8357772,8161936233,3421325345,282495027,4518681700,2262.01,8142112334,0.864185,1.412689,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9260,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9262,0,1,1,257,78,0,11,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9381,0
46.57,78855707,18634,1014,435,579,13470974,8551859620,4051478533,269666989,5314407700,2660.41,8534408009,0.791088,1.891571,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9088,0,1,1,75,4,0,12,3,3,2,0,0,7,3,19,1,0,9090,0,1,1,258,77,0,12,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9205,0
45.98,64950871,15453,1015,436,579,11026508,7108419493,3395986600,224196002,4463008340,2234.4,7067271566,0.677908,1.571027,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7549,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7551,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7653,0
46.49,56294060,18728,1015,436,579,8706613,8230927473,3496573243,283795353,4601441200,2303.44,8224491180,0.836804,1.490052,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9338,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9340,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9459,0
46.97,80326714,30263,1015,436,579,12238570,10774028679,4742451465,311342912,6242939080,3124.97,10756927006,1.095568,2.056895,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,13211,3,1,1,75,4,0,12,3,3,2,0,0,7,3,19,1,0,13213,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,13327,0
46.66,62302551,21403,1013,434,579,9531283,7970417290,3499693707,229877579,4648044300,2326.55,7967749469,0.863233,1.474761,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9641,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9643,0,1,1,258,78,0,12,182,693,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9754,0
46.36,43628292,14305,1015,436,579,6785519,6325353859,2675082657,218175723,3560368940,1782.31,6280885547,0.582702,1.218313,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7125,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7127,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,6,7,1,3,1,1,1,3,7247,0
47.17,65027025,22801,1016,437,579,9928803,10008791249,4169163088,343012058,5462421400,2734.02,9999921046,0.965938,1.788196,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11370,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11372,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11490,0
46.54,43344271,14408,1016,437,579,6877586,6349222146,2693424850,219121796,3585823760,1795.05,6329839286,0.622391,1.190979,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7166,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7168,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7285,0
