energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
56.28,221423211,39685,1042,461,581,163778965,31687090025,42938810794,2776230232,54220195060,27154.62,31686063065,0.618005,26.524326,5937,0,72,4,4,1,16,3,1,6,18392,2984,8,2,6,0,0,1,1,76,4,2959,14,4,3,2,8940,47436,7,3,27127,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3555,0,83006,0,2,34,3,1,22052,5,2,4,41561,2980,1,11860,2,7,1,0,1,2,0,4,115,0
52.49,249096105,62215,1029,450,579,159337905,35060606135,45512623011,3956944028,57622302940,28861.15,35056125096,0.615205,28.220735,3995,0,72,4,4,1,16,3,2,6,12526,2005,8,2,6,0,0,1,1,76,4,1980,14,4,3,2,6003,27936,7,3,109527,2,1,2,0,0,1,260,78,0,14,182,2694,14,2,13,0,0,0,39,0,0,0,2574,0,82327,0,2,34,3,1,22506,5,2,4,27942,2000,1,7961,2,7,1,0,1,2,0,4,116,0
51.51,636229401,75358,1042,463,579,74871902,27330649304,42132391703,6910575742,53509737760,26794.81,27334957513,0.282837,26.481719,11824,0,72,4,4,1,16,3,1,6,35986,5915,8,2,6,0,0,1,1,76,4,5909,14,4,3,2,17735,93930,7,3,75967,2,1,2,0,0,1,260,78,0,14,182,6604,14,2,13,0,0,0,39,0,0,0,6486,0,0,0,2,34,3,1,3,5,2,4,82368,5911,1,23600,2,7,1,0,1,2,0,4,115,0
51.88,657659792,74968,1041,462,579,74638021,27385670974,42170525688,6876205714,53543915720,26811.33,27388896912,0.164636,26.617695,11834,0,72,4,4,1,15,3,2,6,36021,5921,8,2,6,0,0,1,1,76,4,5910,14,4,3,2,17751,94246,7,3,76465,2,1,2,0,0,1,260,78,0,14,182,6609,14,2,13,0,0,0,39,0,0,0,6490,0,0,0,2,34,3,1,3,5,2,4,88398,5916,1,23628,2,7,1,0,1,2,0,4,116,0
52.29,232907725,40841,1033,454,579,162854724,32148473896,42748109549,2808474491,53960337500,27021.27,32144814137,0.582018,26.430597,5953,0,72,4,4,1,16,3,2,6,18420,2987,8,2,6,0,0,1,1,76,4,2963,14,4,3,2,8949,41578,7,3,27114,2,1,2,0,0,1,260,78,0,14,182,3677,14,2,13,0,0,0,39,0,0,0,3555,0,85734,0,2,34,3,1,23460,5,2,4,38627,2982,1,11915,2,7,1,0,1,2,0,4,115,0
50.49,759016545,68381,1033,454,579,76346185,29197173625,42273145329,7884526568,53627805740,26853.93,29204393306,0.181058,26.644907,13691,0,72,4,4,1,16,3,2,6,41561,6850,8,2,6,0,0,1,1,76,4,6844,14,4,3,2,20537,95491,7,3,76301,2,1,2,0,0,1,260,78,0,14,182,7540,14,2,13,0,0,0,38,0,0,0,7418,0,0,0,2,34,3,1,3,5,2,4,95550,6845,1,27336,2,7,1,0,1,2,0,4,116,0
54.22,619874774,84496,1035,456,579,71635759,27909781218,41977534247,6960137660,53365839780,26722.22,27920408894,0.179104,26.510923,11781,0,72,4,4,1,16,3,1,6,35854,5894,8,2,6,0,0,1,1,76,4,5889,14,4,3,2,17671,82185,7,3,77567,2,1,2,0,0,1,260,78,0,14,182,6585,14,2,13,0,0,0,39,0,0,0,6464,0,0,0,2,34,3,1,3,5,2,4,76299,5890,1,23524,2,7,1,0,1,2,0,4,115,0
54.44,258723743,56435,1038,459,579,165826233,34561240462,45644307053,3949242068,57727357160,28911.91,34565032770,0.570281,28.315009,4037,0,72,4,4,1,16,3,1,6,12641,2022,8,2,6,0,0,1,1,76,4,2006,14,4,3,2,6057,32148,7,3,99991,2,1,2,0,0,1,260,78,0,14,182,2713,14,2,13,0,0,0,39,0,0,0,2593,0,75268,0,1,34,3,1,31705,5,2,4,30196,2018,1,8027,2,7,1,0,1,2,0,4,116,0
53.53,220990924,43323,1044,465,579,161244595,31527083871,42813205464,2740987989,54099473280,27093.39,31522110765,0.566215,26.513614,5915,0,72,4,4,1,16,3,2,6,18288,2968,8,2,6,0,0,1,1,76,4,2949,14,4,3,2,8892,47226,7,3,123299,2,1,2,0,0,1,260,77,0,14,182,3659,14,2,13,0,0,0,39,0,0,0,3538,0,80601,0,2,34,3,1,13232,5,2,4,41288,2963,1,11808,2,7,1,0,1,2,0,4,115,0
53.89,267439636,54655,1033,454,579,164691616,35547819301,45676794442,4005902664,57809337560,28953.78,35548034414,0.533342,28.394375,4073,0,72,4,4,1,16,3,1,6,12748,2040,8,2,6,0,0,1,1,76,4,2022,14,4,3,2,6111,28414,7,3,102049,2,1,2,0,0,1,260,78,0,14,182,2731,14,2,13,0,0,0,39,0,0,0,2608,0,76616,0,2,34,3,1,40903,5,2,4,28465,2036,1,8117,2,7,1,0,1,2,0,4,116,0
