energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
76.75,417754230,54877,226687,225892,787,107879761,32491328086,26490397020,1529572595,34020498860,17033.76,32781061492,0,0,0,0,744,0,0,24,0,303708,0,29,2704,64,0,2368,0,153,294,107211,0,327,184,533,2557,0,76,46,82,58,33263,993,222,16,0,1683,18103,65,0,768,1832,0,611,1361,2038,0,3,0,0,0,0,3,0,0,0,31044,0,11484,106,0,1,123,353,1643,0,0,0,664,2,0,103,848,1,0,294,2,0,395,0,27806,0
76.75,420403476,55878,226989,226195,786,108995110,33101584598,27017291564,1552693501,34752505660,17400.49,33271992709,0,0,0,0,1000,0,0,25,0,212113,0,29,2722,64,0,2505,0,145,309,107451,0,340,183,548,2650,0,77,46,83,57,33480,994,237,16,0,1721,18354,64,0,787,1819,0,617,1371,2061,0,3,0,0,0,0,3,0,0,0,31157,0,11114,112,0,1,122,349,1605,0,0,0,670,2,0,104,851,1,0,309,2,0,395,0,27921,0
77,414748998,54723,227042,226247,785,108058437,33041977937,26695625627,1544327812,34313353040,17179.87,33340632082,0,0,0,0,741,0,0,25,0,301454,0,28,2777,66,0,2525,0,156,341,105379,0,342,189,738,2534,0,76,46,85,60,33378,1016,218,16,0,1772,18647,65,0,794,1818,0,614,1390,2100,0,3,0,0,0,0,3,0,0,0,30842,0,11390,113,0,1,121,343,1632,0,0,0,692,2,0,106,869,1,0,341,2,0,397,0,27553,0
77.49,415287254,54549,226488,225693,787,106557763,32463465913,26496394312,1525407730,34023211460,17035.05,32664845286,0,0,0,0,1004,0,0,24,0,299217,0,29,2694,69,0,2379,0,141,305,107206,0,324,190,507,2548,0,77,48,83,61,33444,997,239,16,0,1680,17462,64,0,767,1830,0,604,1348,2030,0,3,0,0,0,0,3,0,0,0,30748,0,11429,104,0,1,123,358,1560,0,0,0,689,2,0,106,845,1,0,305,2,0,397,0,27462,0
78.61,424599465,55323,229875,229077,790,108208533,33046342546,26821949234,1547429326,34452473280,17250.69,33214277948,0,0,0,0,746,0,0,25,0,303572,0,29,2735,70,0,2457,0,168,295,110187,0,340,197,906,2530,0,76,46,87,62,33593,1001,237,16,0,1734,18241,65,0,782,1780,0,614,1361,2040,0,3,0,0,0,0,3,0,0,0,30857,0,11802,112,0,1,123,352,1655,0,0,0,710,2,0,110,841,1,0,295,2,0,396,0,27648,0
78.06,411977713,54303,221860,221056,796,106602506,32697695797,26535018346,1521402123,34114928600,17081.17,32834251520,0,0,0,0,1007,0,0,24,0,299722,0,28,2682,69,0,2551,0,151,278,105717,0,336,192,618,2634,0,77,46,87,63,33548,988,255,16,0,1712,17072,65,0,752,1841,0,606,1342,2001,0,3,0,0,0,0,3,0,0,0,30825,0,11241,110,0,1,120,353,1602,0,0,0,712,2,0,108,834,1,0,278,2,0,397,0,27538,0
78.09,417040745,55427,231255,230446,801,107692171,32950060911,26822320242,1545526396,34487078340,17267.49,33024128341,0,0,0,0,739,0,0,30,0,301844,0,29,2772,83,0,2307,0,172,311,111695,0,330,183,525,2638,0,76,47,95,57,32933,996,234,16,0,1728,18437,65,0,782,1841,0,600,1379,2055,0,3,0,0,0,0,3,0,0,0,31014,0,11484,107,0,1,123,355,1640,0,0,0,661,2,0,121,850,1,0,311,2,0,394,0,27486,0
78.38,403350663,54758,225781,224978,795,107605960,31707392571,26220302696,1503678826,33683890020,16865.17,32152278736,0,0,0,0,739,0,0,29,0,299083,0,28,2731,74,0,2451,0,156,305,110447,0,340,184,447,2656,0,77,46,89,59,32781,990,177,16,0,1730,17634,65,0,777,1827,0,614,1381,2052,0,3,0,0,0,0,3,0,0,0,30806,0,10825,112,0,1,121,361,1584,0,0,0,667,2,0,118,844,1,0,305,2,0,396,0,27532,0
79.09,423399220,55588,226149,225352,789,108296444,33640067619,27142613860,1565554882,34876082920,17462.33,33799833927,0,0,0,0,764,0,0,24,0,303192,0,29,2803,69,0,2384,0,178,333,107706,0,328,190,615,2534,0,76,50,85,62,33274,1030,201,16,0,1786,18817,65,0,792,1808,0,614,1390,2105,0,3,0,0,0,0,3,0,0,0,31103,0,11402,106,0,1,123,349,1600,0,0,0,691,2,0,108,876,1,0,333,2,0,401,0,27832,0
76.54,399714340,53870,214792,213973,811,106205034,31484629144,26065231460,1484253651,33502975820,16774.74,31666482673,0,0,0,0,734,0,0,24,0,301009,0,29,2734,72,0,2449,0,161,319,106997,0,338,194,497,2622,0,75,46,89,65,33208,1008,216,16,0,1738,17435,64,0,759,1816,0,591,1362,2053,0,3,0,0,0,0,3,0,0,0,30883,0,11792,111,0,1,123,347,1630,0,0,0,720,2,0,111,853,1,0,319,2,0,394,0,27634,0
70.53,407862676,56375,208068,198391,9666,112008712,31296203578,26682497616,1476377211,34339506000,17193.87,31402549367,0,0,0,0,834,0,0,24,0,270849,0,31,2884,124,0,3983,0,192,349,115787,1,283,206,1161,2158,0,71,30,96,71,37129,1056,316,1,0,2315,17467,79,0,739,1668,0,612,1384,2090,0,3,0,0,0,0,3,0,0,0,35738,0,12562,116,0,4,130,338,2066,0,0,0,829,2,0,164,888,1,0,349,2,0,406,6,32073,0
67.65,403359540,55648,209309,200598,8703,112127156,31624722007,26786554183,1477156347,34473101560,17260.56,31921861032,0,0,0,0,794,0,0,26,0,279080,0,31,2335,135,0,4360,0,204,335,115058,1,276,242,1972,2115,0,71,29,112,86,37826,1088,353,1,0,2305,16037,77,0,725,1662,0,577,1379,1813,0,3,0,0,0,0,3,0,0,0,36226,0,13086,112,0,4,128,333,2125,0,0,0,975,2,0,173,886,1,0,335,2,0,405,6,32505,0
71.24,411925401,57217,219949,210603,9338,112877254,31714515469,27032793114,1502165256,34785515180,17416.92,32004929604,0,0,0,0,842,0,0,29,0,277613,0,30,2924,140,0,4399,0,194,354,118288,1,264,233,1183,2138,0,71,28,109,80,37430,1090,293,1,0,2312,19713,79,0,720,1651,0,594,1392,2099,0,3,0,0,0,0,3,0,0,0,36383,0,12573,106,0,4,128,328,2103,0,0,0,929,2,0,184,899,1,0,354,2,0,408,6,32546,0
67.35,413383808,56833,211460,202281,9171,113011301,31719718730,27188389220,1498432625,34976144380,17512.45,32049943145,0,0,0,0,836,0,0,27,0,282038,0,32,2905,138,0,4838,0,175,346,114749,1,290,240,1609,2130,0,71,28,111,84,38190,1099,309,1,0,2385,18672,78,0,723,1660,0,592,1400,2108,0,3,0,0,0,0,3,0,0,0,36867,0,12813,119,0,4,132,310,2120,0,0,0,956,2,0,178,900,1,0,346,2,0,408,6,32873,0
69.06,407750898,55840,213040,203229,9802,112149163,31565350437,26742535254,1491439494,34393677800,17220.77,31762186344,0,0,0,0,834,0,0,26,0,276153,0,31,2886,135,0,4670,0,186,339,114463,1,286,238,2009,2115,0,71,28,110,84,37195,1080,318,1,0,2343,17240,80,0,746,1654,0,614,1376,2089,0,3,0,0,0,0,3,0,0,0,36267,0,12782,117,0,4,130,333,2126,0,0,0,953,2,0,176,879,1,0,339,2,0,405,6,32374,0
67.16,404746938,56923,202340,193489,8843,112159137,31857831424,26952698857,1486594845,34688227860,17368.03,31846960970,0,0,0,0,841,0,0,26,0,277480,0,30,2888,131,0,4226,0,194,345,116547,1,276,233,1261,2139,0,70,28,106,80,37448,1088,256,1,0,2264,16012,79,0,719,1657,0,581,1381,2087,0,3,0,0,0,0,3,0,0,0,36252,0,12425,112,0,4,128,340,2168,0,0,0,913,2,0,172,890,1,0,345,2,0,407,6,32533,0
69.77,408779946,58111,197505,187891,9606,114514933,32274254883,27297138783,1490831730,35122970360,17585.81,32204615597,0,0,0,0,853,0,0,26,0,288418,0,30,2895,132,0,4726,0,181,348,121497,1,270,224,1271,2224,0,71,38,100,75,37694,1080,289,1,0,2369,14693,78,0,733,1603,0,605,1386,2098,0,3,0,0,0,0,3,0,0,0,36609,0,12792,109,0,4,127,331,2058,0,0,0,893,2,0,173,893,1,0,348,2,0,410,6,32661,0
70.32,403800357,56084,202240,193193,9036,111560256,31502401346,26873980164,1483047685,34554992820,17301.84,31791308660,0,0,0,0,837,0,0,26,0,270710,0,30,2897,128,0,4480,0,205,342,115413,1,272,219,1391,2153,0,71,28,99,72,36963,1074,268,1,0,2351,16514,79,0,756,1653,0,594,1380,2086,0,3,0,0,0,0,3,0,0,0,35765,0,12276,110,0,4,128,335,2057,0,0,0,870,2,0,169,893,1,0,342,2,0,405,6,31915,0
67.39,401786979,55873,213703,204846,8849,111008329,30998959678,26418772453,1471994123,33978967220,17012.68,30970217627,0,0,0,0,867,0,0,24,0,268533,0,32,2876,123,0,4244,0,193,337,112334,1,272,201,792,2123,0,71,29,94,70,36901,1048,306,1,0,2264,16826,80,0,761,1667,0,590,1377,2082,0,3,0,0,0,0,3,0,0,0,36043,0,12157,110,0,4,132,327,2029,0,0,0,825,2,0,163,887,1,0,337,2,0,404,6,31894,0
71.41,424571296,57613,216593,206868,9717,115731729,33394971129,28043681587,1555818305,35983521700,18016.12,33380618765,0,0,0,0,805,0,0,27,0,294358,0,30,2349,131,0,4669,0,185,350,118117,1,284,234,1577,2216,0,71,37,110,82,38232,1099,219,1,0,2365,18747,75,0,756,1558,0,603,1400,1840,0,3,0,0,0,0,3,0,0,0,37298,0,12652,116,0,4,126,313,2208,0,0,0,919,2,0,173,899,1,0,350,2,0,408,6,33493,0
76.47,440376718,57548,301055,291000,10035,109324917,33897593247,26783784753,1631951035,34295207360,17168.85,33982565804,0,0,0,0,732,0,0,90,0,191926,0,37,2629,486,0,3330,0,172,311,106822,1,373,172,485,782,0,125,80,267,36,21705,936,330,1,0,2091,19839,50,0,900,1529,0,685,1648,1919,0,4,0,0,0,0,3,0,0,0,25548,0,8756,106,0,6,156,0,1321,0,0,0,485,3,74,338,820,2,0,311,2,2,404,13,22028,0
77.34,427887004,56929,291028,280620,10179,106748491,33106988443,26341412674,1620438142,33866989060,16955.5,33130656197,0,0,0,0,726,0,0,90,0,189242,0,37,2875,501,0,3092,0,196,348,103442,1,369,163,344,780,0,125,76,269,35,21263,941,302,1,0,2123,18954,50,0,908,1655,0,668,1651,2062,0,4,0,0,0,0,3,0,0,0,25414,0,8550,104,0,6,157,0,1303,0,0,0,452,3,75,335,832,2,0,348,2,2,403,13,21945,0
77.85,431258165,56397,291978,281558,10299,105945599,33376554371,26253850141,1624588160,33781313700,16912.65,33736217566,0,0,0,0,729,0,0,88,0,185538,0,39,2782,493,0,3119,0,163,309,106305,1,371,163,336,772,0,124,82,264,34,21023,925,311,1,0,2032,18257,49,0,866,1556,0,648,1612,2004,0,4,0,0,0,0,3,0,0,0,25243,0,8557,105,0,4,161,0,1301,0,0,0,448,3,75,330,819,2,0,309,2,2,403,12,21697,0
76.13,440979013,58136,291531,280915,10474,108699705,33490303652,27133509354,1635138592,34911022600,17478.02,33462408194,0,0,0,0,753,0,0,85,0,199349,0,38,2929,442,0,3176,0,201,365,112751,1,383,167,332,791,0,125,73,243,34,21557,978,285,1,0,2212,20928,51,0,894,1525,0,645,1659,2118,0,4,0,0,0,0,3,0,0,0,26430,0,8640,111,0,4,157,0,1344,0,0,0,447,3,74,317,868,2,0,365,2,2,410,12,22473,0
