energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
57,0,0,458,0,0,6,0,124762,0,16,997,48,0,1139,0,21,98,50857,0,124,77,416,520,0,49,48,47,40,15905,423,148,12,0,718,6880,34,0,405,1784,0,254,493,729,0,1,0,0,0,0,0,0,0,0,19216,0,3205,6,0,1,98,351,388,0,0,0,434,1,0,58,353,1,0,98,0,0,131,0,17531,0
57.11,0,0,321,0,0,5,0,125636,0,16,991,45,0,1088,0,21,101,50537,0,124,77,405,507,0,49,46,45,40,15825,420,153,12,0,706,7674,34,0,399,1780,0,257,487,729,0,1,0,0,0,0,0,0,0,0,19179,0,3277,6,0,1,98,337,385,0,0,0,431,1,0,54,349,1,0,101,0,0,131,0,17516,0
56.36,0,0,456,0,0,5,0,123524,0,16,991,45,0,1088,0,21,100,49596,0,124,77,461,522,0,49,48,44,39,15818,421,123,12,0,708,7027,33,0,402,1782,0,259,490,729,0,1,0,0,0,0,0,0,0,0,19050,0,3251,6,0,1,98,349,385,0,0,0,424,1,0,52,353,1,0,100,0,0,131,0,17369,0
55.96,0,0,365,0,0,7,0,122604,0,16,969,46,0,1079,0,21,94,50181,0,124,79,328,525,0,48,48,47,39,15487,409,117,12,0,686,7287,33,0,395,1781,0,254,480,708,0,1,0,0,0,0,0,0,0,0,18976,0,3142,6,0,1,98,357,380,0,0,0,443,1,0,57,337,1,0,94,0,0,127,0,17343,0
57.16,0,0,316,0,0,5,0,126181,0,16,987,44,0,1101,0,21,100,50836,0,124,79,457,518,0,49,50,44,40,15791,421,135,12,0,709,8357,33,0,408,1782,0,259,486,724,0,1,0,0,0,0,0,0,0,0,19225,0,3291,6,0,1,98,352,390,0,0,0,442,1,0,53,350,1,0,100,0,0,131,0,17554,0
57.11,0,0,320,0,0,5,0,126000,0,16,987,43,0,1085,0,21,101,50681,0,124,77,411,496,0,49,48,44,38,15751,423,114,14,0,708,7497,33,0,396,1787,0,260,489,727,0,1,0,0,0,0,0,0,0,0,19164,0,3231,6,0,1,97,332,391,0,0,0,443,1,0,52,353,1,0,101,0,0,131,0,17504,0
56.68,0,0,331,0,0,8,0,126325,0,16,1000,48,0,1082,0,21,98,51067,0,124,77,393,518,0,49,46,48,40,15839,418,132,12,0,699,7338,35,0,402,1783,0,253,496,728,0,1,0,0,0,0,0,0,0,0,19300,0,3315,6,0,1,98,347,392,0,0,0,413,1,0,60,351,1,0,98,0,0,130,0,17877,0
56.36,0,0,401,0,0,7,0,121200,0,17,978,46,0,1021,0,21,97,49778,0,124,79,442,528,0,49,48,47,40,15661,412,139,13,0,679,6807,34,0,394,1781,0,255,484,716,0,1,0,0,0,0,0,0,0,0,18902,0,3262,6,0,1,99,356,386,0,0,0,433,1,0,57,341,1,0,97,0,0,129,0,17497,0
57.61,0,0,451,0,0,5,0,125466,0,16,976,44,0,1120,0,21,97,50540,0,124,77,533,513,0,49,48,45,40,15852,414,148,12,0,701,7920,33,0,413,1780,0,262,481,716,0,1,0,0,0,0,0,0,0,0,19128,0,3217,6,0,1,97,347,389,0,0,0,443,1,0,53,344,1,0,97,0,0,129,0,17479,0
57.3,0,0,323,0,0,5,0,126956,0,16,988,46,0,1103,0,21,101,51248,0,124,79,529,501,0,42,48,46,40,15941,424,152,13,0,710,6992,34,0,390,1775,0,249,490,732,0,1,0,0,0,0,0,0,0,0,19312,0,3245,6,0,1,98,334,388,0,0,0,443,1,0,53,353,1,0,101,0,0,132,0,17891,0
51.11,0,0,456,0,0,8,0,156106,0,18,981,77,0,2453,0,25,145,49224,0,48,87,1007,421,0,42,30,54,45,17771,438,157,0,0,998,6561,44,0,417,1288,0,232,461,678,0,1,0,0,0,0,0,0,0,0,22019,0,4593,6,0,2,103,342,682,0,0,0,517,1,0,89,350,1,0,145,0,0,119,7,19859,0
53.76,0,0,457,0,0,9,0,157905,0,20,975,84,0,3122,0,23,148,49925,0,48,108,1544,401,0,42,29,66,56,17819,452,159,0,0,1161,5826,42,0,415,1290,0,232,454,660,0,1,0,0,0,0,0,0,0,0,21999,0,4513,6,0,2,105,321,692,0,0,0,605,1,0,96,344,1,0,148,0,0,118,7,20034,0
