energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
52.17,12,0,0,0,0,0,2,1330,4,12,277,0,0,0,1,0,12,1568,1,58,0,7,72,0,0,15,49,28,984,0,0,0,0,1,23,0,0,9,9,0,30,94,247,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,688,0,0,12,0,0,2,0,115,0
49.44,12,0,0,0,0,0,2,1285,4,12,261,0,0,0,1,0,12,1518,0,56,0,7,67,0,0,14,49,28,936,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,372,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,644,0,0,12,0,0,2,0,114,0
50.82,12,0,0,0,0,0,2,1321,4,12,261,0,0,0,1,0,16,1551,0,56,0,7,67,0,0,14,49,28,960,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,640,0,0,16,0,0,2,0,113,0
50.88,12,0,0,0,0,0,2,1320,4,12,262,0,0,0,1,0,12,1540,0,56,0,7,67,0,0,14,49,28,956,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,643,0,0,12,0,0,2,0,119,0
52.9,12,0,0,0,0,0,2,1327,4,12,278,0,0,0,1,0,16,1549,1,58,0,7,72,0,0,15,49,28,978,0,0,0,0,1,23,0,0,9,9,0,30,98,247,0,0,10,0,0,0,19,0,41,0,399,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,688,0,0,16,0,0,2,0,115,0
51.33,12,0,0,0,0,0,2,1335,4,12,275,0,0,0,1,0,12,1577,1,54,0,7,72,0,0,15,49,28,987,0,0,0,0,1,23,0,0,9,9,0,30,97,246,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,685,0,0,12,0,0,2,0,115,0
50.52,12,0,0,0,0,0,2,1324,4,12,278,0,0,0,1,0,16,1530,1,58,0,7,72,0,0,15,49,28,977,0,0,0,0,1,23,0,0,9,9,0,30,100,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,684,0,0,16,0,0,2,0,120,0
52.31,12,0,0,0,0,0,2,1331,4,12,278,0,0,0,1,0,12,1564,1,58,0,7,71,0,0,15,49,28,986,0,0,0,0,1,23,0,0,9,9,0,30,101,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,687,0,0,12,0,0,2,0,115,0
50.06,12,0,0,0,0,0,2,1309,4,12,260,0,0,0,1,0,16,1551,0,52,0,7,67,0,0,14,49,28,946,0,0,0,0,0,23,0,0,9,9,0,30,79,229,0,0,10,0,0,0,7,0,41,0,370,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,642,0,0,16,0,0,2,0,114,0
50.23,12,0,0,0,0,0,2,1301,4,12,260,0,0,0,1,0,12,1540,0,52,0,7,67,0,0,14,49,28,942,0,0,0,0,0,23,0,0,9,9,0,30,79,229,0,0,10,0,0,0,7,0,41,0,372,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,643,0,0,12,0,0,2,0,113,0
49.68,12,0,0,0,0,0,2,1304,4,12,265,0,0,0,1,0,14,1536,0,56,0,7,67,0,0,14,49,28,945,0,0,0,0,0,23,0,0,9,9,0,30,80,229,0,0,10,0,0,0,7,0,49,0,367,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,642,0,0,14,0,0,2,0,121,0
49.72,12,0,0,0,0,0,2,1332,4,12,276,0,0,0,1,0,12,1557,0,56,0,7,71,0,0,15,49,28,968,0,0,0,0,0,23,0,0,9,9,0,30,85,245,0,0,10,0,0,0,7,0,41,0,396,0,0,0,0,0,47,15,0,0,0,0,28,0,14,0,687,0,0,12,0,0,2,0,115,0
49.11,12,0,0,0,0,0,3,1325,4,12,277,0,0,0,1,0,12,1555,1,58,0,7,72,0,0,15,49,28,973,0,0,0,0,1,23,0,0,9,9,0,30,95,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,687,0,0,12,0,0,2,0,115,0
48.47,12,0,0,0,0,0,2,1281,4,12,259,0,0,0,1,0,16,1509,0,56,0,7,67,0,0,14,49,28,938,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,643,0,0,16,0,0,2,0,114,0
48.19,12,0,0,0,0,0,2,1276,4,12,262,0,0,0,1,0,12,1504,0,56,0,7,67,0,0,14,49,28,932,0,0,0,0,0,23,0,0,9,9,0,30,81,230,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,13,0,643,0,0,12,0,0,2,0,114,0
50.15,12,0,0,0,0,0,2,1337,4,12,276,0,0,0,1,0,16,1571,0,56,0,7,71,0,0,15,49,28,979,0,0,0,0,0,23,0,0,9,9,0,30,84,245,0,0,10,0,0,0,7,0,41,0,398,0,0,0,0,0,47,15,0,0,0,0,28,0,14,0,690,0,0,16,0,0,2,0,114,0
49.38,12,0,0,0,0,0,2,1314,4,12,277,0,0,0,1,0,12,1524,1,58,0,7,72,0,0,15,49,28,974,0,0,0,0,1,23,0,0,9,9,0,30,99,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,690,0,0,12,0,0,2,0,120,0
50.29,12,0,0,0,0,0,3,1339,4,12,278,0,0,0,1,0,16,1567,1,58,0,7,72,0,0,15,49,28,987,0,0,0,0,1,23,0,0,9,9,0,30,100,247,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,686,0,0,16,0,0,2,0,115,0
49.4,12,0,0,0,0,0,2,1300,4,12,262,0,0,0,1,0,12,1523,0,56,0,7,66,0,0,14,49,28,945,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,372,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,642,0,0,12,0,0,2,0,114,0
50.25,12,0,0,0,0,0,2,1331,4,12,274,0,0,0,1,0,16,1555,0,56,0,7,71,0,0,15,49,28,975,0,0,0,0,0,23,0,0,9,9,0,30,84,244,0,0,10,0,0,0,7,0,41,0,397,0,0,0,0,0,47,15,0,0,0,0,28,0,14,0,688,0,0,16,0,0,2,0,114,0
47.73,12,0,0,0,0,0,1,1338,4,12,278,0,0,0,1,0,14,1530,0,56,0,7,71,0,0,15,49,28,960,0,0,0,0,0,22,0,0,9,9,0,29,83,245,0,0,10,0,0,0,7,0,49,0,393,0,0,0,0,0,46,15,0,0,0,0,28,0,13,0,689,0,0,14,0,0,2,0,119,0
49.57,12,0,0,0,0,0,3,1384,4,12,275,0,0,0,1,0,12,1581,1,54,0,7,72,0,0,15,49,28,1012,0,0,0,0,1,22,0,0,9,9,0,29,92,246,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,46,16,0,0,0,0,28,0,13,0,690,0,0,12,0,0,2,0,118,0
48.4,12,0,0,0,0,0,3,1311,4,12,261,0,0,0,1,0,12,1520,1,54,0,7,68,0,0,14,49,28,958,0,0,0,0,1,22,0,0,9,9,0,29,90,232,0,0,10,0,0,0,19,0,41,0,374,0,0,0,0,0,46,15,0,0,0,0,28,0,13,0,642,0,0,12,0,0,2,0,113,0
50.55,12,0,0,0,0,0,1,1359,4,12,275,0,0,0,1,0,16,1557,0,56,0,7,71,0,0,15,49,28,977,0,0,0,0,0,22,0,0,9,9,0,29,84,245,0,0,10,0,0,0,7,0,41,0,398,0,0,0,0,0,45,15,0,0,0,0,28,0,13,0,687,0,0,16,0,0,2,0,111,0
49.11,12,0,0,0,0,0,3,1347,4,12,277,0,0,0,1,0,12,1553,1,58,0,7,72,0,0,15,49,28,991,0,0,0,0,1,22,0,0,9,9,0,29,97,248,0,0,10,0,0,0,19,0,41,0,399,0,0,0,0,0,46,16,0,0,0,0,28,0,13,0,688,0,0,12,0,0,2,0,112,0
50.9,12,0,0,0,0,0,3,1391,4,12,276,0,0,0,1,0,16,1605,1,58,0,7,72,0,0,15,49,28,1011,0,0,0,0,1,22,0,0,9,9,0,29,98,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,46,16,0,0,0,0,28,0,13,0,685,0,0,16,0,0,2,0,113,0
50.79,12,0,0,0,0,0,3,1361,4,12,276,0,0,0,1,0,12,1556,1,58,0,7,72,0,0,15,49,28,1002,0,0,0,0,1,22,0,0,9,9,0,29,99,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,46,16,0,0,0,0,28,0,13,0,689,0,0,12,0,0,2,0,113,0
50.39,12,0,0,0,0,0,3,1348,4,12,275,0,0,0,1,0,16,1543,1,54,0,7,72,0,0,15,49,28,988,0,0,0,0,1,22,0,0,9,9,0,29,98,246,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,46,16,0,0,0,0,28,0,13,0,687,0,0,16,0,0,2,0,113,0
50.43,12,0,0,0,0,0,2,1361,4,12,272,0,0,0,1,0,12,1552,0,52,0,7,69,0,0,15,49,28,979,0,0,0,0,0,22,0,0,9,9,0,29,83,243,0,0,10,0,0,0,7,0,41,0,398,0,0,0,0,0,46,15,0,0,0,0,28,0,13,0,689,0,0,12,0,0,2,0,113,0
51.26,12,0,0,0,0,0,3,1386,4,12,275,0,0,0,1,0,16,1603,1,58,0,7,72,0,0,15,49,28,1004,0,0,0,0,1,22,0,0,9,9,0,29,102,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,45,16,0,0,0,0,28,0,13,0,689,0,0,16,0,0,2,0,113,0
53.23,12,0,0,0,0,0,0,1305,4,12,277,0,0,0,1,0,14,1558,0,56,0,7,73,0,0,15,49,28,987,0,0,0,0,0,22,0,0,9,9,0,29,83,245,0,0,10,0,0,0,7,0,49,0,393,0,0,0,0,0,46,15,0,0,0,0,28,0,13,0,688,0,0,14,0,0,2,0,119,0
48.25,12,0,0,0,0,0,1,1280,4,12,261,0,0,0,1,0,12,1535,0,56,0,7,69,0,0,14,49,28,964,0,0,0,0,0,22,0,0,9,9,0,29,81,231,0,0,10,0,0,0,6,0,41,0,372,0,0,0,0,0,46,14,0,0,0,0,28,0,13,0,642,0,0,12,0,0,2,0,112,0
49.76,12,0,0,0,0,0,1,1308,4,12,275,0,0,0,1,0,12,1566,0,56,0,7,73,0,0,15,49,28,996,0,0,0,0,0,22,0,0,9,9,0,29,84,245,0,0,10,0,0,0,7,0,41,0,398,0,0,0,0,0,46,14,0,0,0,0,28,0,13,0,689,0,0,12,0,0,2,0,112,0
48.37,12,0,0,0,0,0,3,1262,4,12,263,0,0,0,1,0,16,1510,1,58,0,7,70,0,0,14,49,28,949,0,0,0,0,1,22,0,0,9,9,0,29,93,234,0,0,10,0,0,0,19,0,41,0,374,0,0,0,0,0,46,15,0,0,0,0,28,0,13,0,642,0,0,16,0,0,2,0,113,0
