energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
64.35,0,0,137,0,0,4,0,128139,0,15,460,34,0,686,0,18,21,44656,0,80,51,210,499,0,47,48,33,29,9134,91,92,12,0,297,4416,31,0,312,1615,0,207,121,230,0,1,0,0,0,0,0,0,0,0,11310,0,1125,4,0,1,96,359,230,0,0,0,291,1,0,42,49,0,0,21,0,0,49,0,10921,0
64.71,0,0,139,0,0,4,0,128582,0,15,474,33,0,645,0,9,24,45447,0,80,44,166,481,0,47,48,30,27,9293,95,115,12,0,262,4378,31,0,322,1610,0,226,128,239,0,1,0,0,0,0,0,0,0,0,11267,0,1308,4,0,1,96,342,245,0,0,0,289,1,0,39,56,0,0,24,0,0,47,0,10787,0
64.22,0,0,136,0,0,4,0,131101,0,14,458,31,0,636,0,9,22,43901,0,80,42,132,483,0,47,48,30,26,9193,86,122,12,0,252,4211,31,0,311,1618,0,212,121,230,0,1,0,0,0,0,0,0,0,0,11516,0,1349,4,0,1,94,346,249,0,0,0,289,1,0,39,49,0,0,22,0,0,46,0,11128,0
64.43,0,0,139,0,0,4,0,129455,0,14,463,31,0,635,0,9,21,45311,0,80,42,201,472,0,42,48,31,27,9339,93,101,12,0,257,4387,30,0,320,1607,0,222,130,229,0,1,0,0,0,0,0,0,0,0,11436,0,1314,4,0,1,94,334,253,0,0,0,273,1,0,39,52,0,0,21,0,0,46,0,10955,0
64.23,0,0,141,0,0,4,0,140869,0,15,459,32,0,680,0,9,22,47735,0,80,48,299,484,0,49,48,32,28,10320,96,87,12,0,383,4345,30,0,323,1645,0,216,125,229,0,1,0,0,0,0,0,0,0,0,11816,0,1177,4,0,1,96,346,233,0,0,0,288,1,0,40,52,0,0,22,0,0,48,0,11192,0
64.11,0,0,137,0,0,4,0,126942,0,14,459,31,0,635,0,9,20,44153,0,82,42,123,482,0,47,46,30,26,9147,86,102,12,0,250,4432,31,0,311,1591,0,209,122,229,0,1,0,0,0,0,0,0,0,0,11315,0,1354,4,0,1,93,345,245,0,0,0,295,1,0,39,49,0,0,20,0,0,46,0,10841,0
65.36,0,0,135,0,0,4,0,129336,0,14,458,33,0,653,0,9,21,44943,0,80,44,203,483,0,47,46,32,28,9344,91,109,12,0,260,4545,30,0,317,1612,0,214,124,226,0,1,0,0,0,0,0,0,0,0,11486,0,1311,4,0,1,94,346,256,0,0,0,302,1,0,39,52,0,0,21,0,0,46,0,11010,0
69.63,0,0,134,0,0,4,0,127800,0,14,451,31,0,683,0,9,21,43583,0,80,42,187,484,0,47,48,30,27,9310,86,124,12,0,264,3974,30,0,308,1611,0,208,121,223,0,1,0,0,0,0,0,0,0,0,11250,0,1323,4,0,1,94,347,249,0,0,0,298,1,0,39,49,0,0,21,0,0,46,0,10768,0
65.97,0,0,157,0,0,6,0,132421,0,15,505,45,0,992,0,10,27,46545,0,88,50,203,488,0,47,48,42,32,10044,108,124,12,0,351,4702,35,0,313,1611,0,229,143,261,0,1,0,0,0,0,0,0,0,0,11664,0,1519,6,0,1,96,349,290,0,0,0,334,1,0,49,64,1,0,27,0,0,95,0,11062,0
65.08,0,0,137,0,0,4,0,127967,0,14,460,31,0,643,0,9,23,44523,0,80,42,127,477,0,47,50,31,27,9363,89,121,12,0,260,4294,30,0,324,1613,0,216,125,230,0,1,0,0,0,0,0,0,0,0,11324,0,1317,4,0,1,94,340,249,0,0,0,301,1,0,39,52,1,0,23,0,0,47,0,10854,0
59.44,0,0,175,0,0,7,0,156106,0,16,489,52,0,2328,0,13,65,43903,0,30,59,571,410,0,43,42,42,34,11027,118,145,0,0,672,3539,43,0,321,1049,0,205,119,228,0,1,0,0,0,0,0,0,0,0,14162,0,2482,4,0,2,99,333,535,0,0,0,395,1,0,63,61,0,0,65,0,0,42,7,13445,0
59.03,0,0,171,0,0,6,0,155037,0,17,494,48,0,2188,0,13,62,42821,0,30,57,641,409,0,42,42,39,33,11009,118,126,0,0,634,3940,41,0,330,1057,0,192,121,229,0,1,0,0,0,0,0,0,0,0,14171,0,2545,4,0,2,100,341,535,0,0,0,382,1,0,58,64,0,0,62,0,0,42,7,13083,0
61.87,0,0,186,0,0,6,0,162662,0,17,517,60,0,2320,0,12,65,43236,0,30,60,574,392,0,41,40,47,36,11839,137,149,0,0,673,3587,42,0,328,1150,0,199,135,246,0,1,0,0,0,0,0,0,0,0,14530,0,2722,4,0,2,99,328,580,0,0,0,408,1,0,64,79,1,0,65,0,0,44,7,13383,0
59.5,0,0,177,0,0,7,0,157301,0,16,515,63,0,1885,0,13,66,43724,0,30,73,661,387,0,42,40,50,43,11264,135,159,0,0,555,3808,40,0,325,1138,0,201,124,237,0,1,0,0,0,0,0,0,0,0,14118,0,2972,4,0,4,98,319,527,0,0,0,447,1,0,74,65,0,0,66,0,0,43,8,13191,0
58.75,0,0,185,0,0,8,0,158060,0,17,505,57,0,2296,0,14,66,43949,0,38,63,577,404,0,41,38,46,38,11274,127,114,0,0,661,3892,41,0,333,1148,0,209,128,239,0,1,0,0,0,0,0,0,0,0,14235,0,2490,6,0,2,101,326,559,0,0,0,408,1,0,69,65,0,0,66,0,0,89,7,13170,0
57.82,0,0,176,0,0,10,0,156098,0,16,519,66,0,2711,0,13,66,44723,0,30,77,670,398,0,42,40,54,45,11474,137,173,0,0,764,3819,40,0,328,1115,0,197,130,236,0,1,0,0,0,0,0,0,0,0,14292,0,2214,4,0,2,98,332,530,0,0,0,484,1,0,80,62,0,0,66,0,0,42,7,13357,0
58.99,0,0,174,0,0,6,0,153754,0,16,486,51,0,1790,0,13,60,42548,0,30,59,663,399,0,43,38,40,34,10864,122,117,0,0,534,3503,41,0,328,1153,0,192,121,225,0,1,0,0,0,0,0,0,0,0,14063,0,2402,4,0,4,99,332,510,0,0,0,374,1,0,61,65,0,0,60,0,0,42,8,13059,0
58.05,0,0,173,0,0,7,0,156374,0,16,488,53,0,2155,0,13,63,43412,0,30,59,628,394,0,42,42,42,34,11084,121,124,0,0,625,4002,40,0,321,1109,0,190,122,226,0,1,0,0,0,0,0,0,0,0,14187,0,2595,4,0,2,98,327,543,0,0,0,381,1,0,64,64,0,0,63,0,0,42,7,13123,0
58.85,0,0,177,0,0,8,0,157581,0,16,509,71,0,2634,0,13,65,44279,0,30,77,848,401,0,42,40,53,45,11524,137,143,0,0,739,3781,41,0,325,1151,0,194,123,229,0,1,0,0,0,0,0,0,0,0,14397,0,2169,4,0,2,98,325,535,0,0,0,478,1,0,83,62,0,0,65,0,0,42,7,13279,0
59.04,0,0,172,0,0,7,0,158924,0,17,507,64,0,2673,0,13,65,44583,0,30,77,889,401,0,42,39,51,45,11458,135,141,0,0,748,3617,40,0,325,1154,0,200,118,226,0,1,0,0,0,0,0,0,0,0,14152,0,2125,4,0,2,100,333,525,0,0,0,472,1,0,76,61,0,0,65,0,0,41,7,13397,0
63.3,0,0,146,0,0,8,0,95883,0,16,420,34,0,35,0,14,35,44379,0,108,20,0,104,0,40,45,16,1,3495,3,35,0,0,133,4449,16,0,309,1118,0,231,90,180,0,1,0,0,0,0,0,0,0,0,8682,0,93,4,0,4,105,0,30,0,0,0,15,2,77,26,2,0,0,35,0,0,48,11,8834,0
64.11,0,0,144,0,0,8,0,97393,0,15,427,34,0,35,0,14,36,45226,0,108,20,0,106,0,40,50,16,1,3545,3,37,0,0,134,4074,15,0,304,1119,0,234,93,187,0,1,0,0,0,0,0,0,0,0,9099,0,96,4,0,4,102,0,30,0,0,0,15,2,76,26,2,0,0,36,0,1,46,11,8878,0
