energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
47.07,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,10758,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,10760,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,37,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10879,0
46.25,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9260,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9262,0,1,1,257,78,0,11,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9381,0
46.57,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9088,0,1,1,75,4,0,12,3,3,2,0,0,7,3,19,1,0,9090,0,1,1,258,77,0,12,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9205,0
45.98,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7549,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7551,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7653,0
46.49,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9338,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9340,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9459,0
46.97,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,13211,3,1,1,75,4,0,12,3,3,2,0,0,7,3,19,1,0,13213,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,13327,0
46.66,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9641,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9643,0,1,1,258,78,0,12,182,693,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9754,0
46.36,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7125,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7127,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,6,7,1,3,1,1,1,3,7247,0
47.17,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11370,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11372,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11490,0
46.54,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7166,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7168,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7285,0
46.79,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,8946,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,8948,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9056,0
47.16,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11317,0,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,11319,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11432,0
47.09,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11476,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11478,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11597,0
46.79,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7280,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7282,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7384,0
47.01,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11693,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11695,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11812,0
46.55,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9217,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9219,0,1,1,258,78,0,11,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,1,2,0,0,1,3,7,7,1,3,1,1,1,3,9337,0
46.57,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,5783,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,5785,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,578,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,5905,0
47.17,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,12559,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,12561,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,12681,0
47.02,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9722,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9724,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9844,0
46.5,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,5742,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,5744,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,5854,0
46.82,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9484,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9486,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9605,0
