energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
44.76,0,0,72,5,4,0,16,3,1,6,541,3,8,2,6,0,0,1,1,76,5,0,12,3,3,2,0,0,7,4,20,2,0,2,8,0,1,261,78,1,15,182,695,14,2,13,0,0,0,39,0,0,0,572,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,8,1,0,1,1,0,5,114,0
44.2,0,0,72,5,4,0,16,3,1,6,541,3,8,2,6,0,0,1,1,76,5,0,15,6,3,5,0,0,10,4,20,2,0,2,31,0,1,265,78,1,19,182,695,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,14,1,0,1,1,0,5,114,0
44.22,0,0,72,5,4,0,16,3,1,6,540,3,8,2,6,0,0,1,1,76,5,0,13,4,3,3,0,0,8,4,20,2,0,2,10,0,1,262,78,1,16,182,695,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,10,1,0,1,1,0,5,114,0
47.57,0,0,72,7,4,0,16,3,2,6,541,3,8,2,6,0,0,1,1,75,5,0,13,4,3,3,0,0,8,4,20,3,0,2,11,0,1,262,78,1,16,182,693,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,10,1,0,1,1,0,6,114,0
49.71,0,0,72,8,4,0,16,3,3,6,540,3,8,2,6,0,0,1,1,76,5,0,12,3,3,2,0,0,7,4,20,4,0,2,8,0,1,259,78,1,15,182,693,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,8,1,0,1,1,0,7,114,0
44.31,0,0,72,5,4,0,16,3,1,6,540,3,8,2,6,0,0,1,1,76,5,0,16,7,3,6,0,0,11,4,20,2,0,2,48,0,1,269,78,1,23,182,695,14,2,13,0,0,0,39,0,0,0,572,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,16,1,0,1,1,0,5,114,0
44.99,0,0,72,5,4,0,16,3,1,6,539,3,8,2,6,0,0,1,1,76,5,0,13,4,3,3,0,0,8,4,20,2,0,2,19,0,1,262,78,1,16,182,695,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,10,1,0,1,1,0,5,114,0
44.17,0,0,72,5,4,0,16,3,1,6,541,3,8,2,6,0,0,1,1,76,5,0,13,4,3,3,0,0,8,4,20,2,0,2,11,0,1,262,78,1,16,182,695,14,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,3,0,0,1,3,2,10,1,0,1,1,0,5,114,0
45.19,0,0,72,5,4,0,16,3,1,6,541,3,8,2,6,0,0,1,1,76,5,0,13,4,3,3,0,0,8,4,20,2,0,2,11,0,1,262,78,1,16,182,695,13,2,13,0,0,0,39,0,0,0,573,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,10,1,0,1,1,0,5,114,0
44.59,0,0,72,5,4,0,15,3,1,6,541,3,8,2,6,0,0,1,1,76,5,0,15,6,3,5,0,0,10,4,20,2,0,2,31,0,1,265,78,1,19,182,695,14,2,13,0,0,0,39,0,0,0,571,0,0,0,2,32,3,1,3,5,2,4,0,0,1,3,2,14,1,0,1,1,0,5,114,0
