energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
56.28,5937,0,72,4,4,1,16,3,1,6,18392,2984,8,2,6,0,0,1,1,76,4,2959,14,4,3,2,8940,47436,7,3,27127,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3555,0,83006,0,2,34,3,1,22052,5,2,4,41561,2980,1,11860,2,7,1,0,1,2,0,4,115,0
52.49,3995,0,72,4,4,1,16,3,2,6,12526,2005,8,2,6,0,0,1,1,76,4,1980,14,4,3,2,6003,27936,7,3,109527,2,1,2,0,0,1,260,78,0,14,182,2694,14,2,13,0,0,0,39,0,0,0,2574,0,82327,0,2,34,3,1,22506,5,2,4,27942,2000,1,7961,2,7,1,0,1,2,0,4,116,0
51.51,11824,0,72,4,4,1,16,3,1,6,35986,5915,8,2,6,0,0,1,1,76,4,5909,14,4,3,2,17735,93930,7,3,75967,2,1,2,0,0,1,260,78,0,14,182,6604,14,2,13,0,0,0,39,0,0,0,6486,0,0,0,2,34,3,1,3,5,2,4,82368,5911,1,23600,2,7,1,0,1,2,0,4,115,0
51.88,11834,0,72,4,4,1,15,3,2,6,36021,5921,8,2,6,0,0,1,1,76,4,5910,14,4,3,2,17751,94246,7,3,76465,2,1,2,0,0,1,260,78,0,14,182,6609,14,2,13,0,0,0,39,0,0,0,6490,0,0,0,2,34,3,1,3,5,2,4,88398,5916,1,23628,2,7,1,0,1,2,0,4,116,0
52.29,5953,0,72,4,4,1,16,3,2,6,18420,2987,8,2,6,0,0,1,1,76,4,2963,14,4,3,2,8949,41578,7,3,27114,2,1,2,0,0,1,260,78,0,14,182,3677,14,2,13,0,0,0,39,0,0,0,3555,0,85734,0,2,34,3,1,23460,5,2,4,38627,2982,1,11915,2,7,1,0,1,2,0,4,115,0
50.49,13691,0,72,4,4,1,16,3,2,6,41561,6850,8,2,6,0,0,1,1,76,4,6844,14,4,3,2,20537,95491,7,3,76301,2,1,2,0,0,1,260,78,0,14,182,7540,14,2,13,0,0,0,38,0,0,0,7418,0,0,0,2,34,3,1,3,5,2,4,95550,6845,1,27336,2,7,1,0,1,2,0,4,116,0
54.22,11781,0,72,4,4,1,16,3,1,6,35854,5894,8,2,6,0,0,1,1,76,4,5889,14,4,3,2,17671,82185,7,3,77567,2,1,2,0,0,1,260,78,0,14,182,6585,14,2,13,0,0,0,39,0,0,0,6464,0,0,0,2,34,3,1,3,5,2,4,76299,5890,1,23524,2,7,1,0,1,2,0,4,115,0
54.44,4037,0,72,4,4,1,16,3,1,6,12641,2022,8,2,6,0,0,1,1,76,4,2006,14,4,3,2,6057,32148,7,3,99991,2,1,2,0,0,1,260,78,0,14,182,2713,14,2,13,0,0,0,39,0,0,0,2593,0,75268,0,1,34,3,1,31705,5,2,4,30196,2018,1,8027,2,7,1,0,1,2,0,4,116,0
53.53,5915,0,72,4,4,1,16,3,2,6,18288,2968,8,2,6,0,0,1,1,76,4,2949,14,4,3,2,8892,47226,7,3,123299,2,1,2,0,0,1,260,77,0,14,182,3659,14,2,13,0,0,0,39,0,0,0,3538,0,80601,0,2,34,3,1,13232,5,2,4,41288,2963,1,11808,2,7,1,0,1,2,0,4,115,0
53.89,4073,0,72,4,4,1,16,3,1,6,12748,2040,8,2,6,0,0,1,1,76,4,2022,14,4,3,2,6111,28414,7,3,102049,2,1,2,0,0,1,260,78,0,14,182,2731,14,2,13,0,0,0,39,0,0,0,2608,0,76616,0,2,34,3,1,40903,5,2,4,28465,2036,1,8117,2,7,1,0,1,2,0,4,116,0
